[2021-01-18 19:22:37.211756 +0100 CET] path: /auth/update/, method: POST
[2021-01-18 19:35:56.09061 +0100 CET] path: /auth/create/, method: POST
[2021-01-18 20:03:20.20919 +0100 CET] path: /auth/create/, method: POST
[2021-01-18 20:03:46.182439 +0100 CET] path: /auth/create/, method: POST
[2021-01-18 20:06:32.030158 +0100 CET] path: /auth/create/, method: POST
[2021-01-18 20:07:54.994571 +0100 CET] path: /auth/create/, method: POST
[2021-01-18 20:09:56.598706 +0100 CET] path: /auth/create/, method: POST
[2021-01-18 20:16:36.961116 +0100 CET] path: /auth/obtain/, method: POST
[2021-01-22 16:30:04.183414 +0100 CET] path: /api/recipe/, method: POST
[2021-01-22 16:30:11.960723 +0100 CET] path: /auth/obtain/, method: POST
[2021-01-22 16:30:32.249204 +0100 CET] path: /api/recipe/, method: POST
[2021-01-22 16:30:38.161237 +0100 CET] path: /api/recipe/, method: POST
[2021-01-22 16:33:55.873571 +0100 CET] path: /api/recipe/, method: POST
[2021-01-22 16:34:27.418233 +0100 CET] path: /api/recipe/, method: POST
[2021-01-22 16:52:00.664243 +0100 CET] path: /api/recipe/, method: POST
[2021-01-23 23:23:29.477572 +0100 CET] path: /api/recipe/, method: POST
[2021-01-24 20:08:21.31404 +0100 CET] path: /auth/obtain/, method: POST
[2021-01-24 20:08:44.860613 +0100 CET] path: /api/recipe/, method: POST
[2021-01-24 20:49:55.630566 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 00:20:01.736919 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 00:21:16.97248 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 12:16:10.926672 +0100 CET] path: /api/recipe/, method: GET
[2021-01-25 12:18:54.542402 +0100 CET] path: /api/recipe/, method: GET
[2021-01-25 12:20:00.103219 +0100 CET] path: /api/recipe/, method: GET
[2021-01-25 12:21:23.757191 +0100 CET] path: /api/recipe/, method: GET
[2021-01-25 12:32:43.068282 +0100 CET] path: /api/recipe/, method: GET
[2021-01-25 12:51:42.777725 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 12:52:31.217179 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 12:52:46.373138 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 12:55:07.474484 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 22:07:52.43166 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 22:14:18.69948 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 22:35:25.88315 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 22:36:27.218859 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 22:36:42.817875 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 22:36:49.53303 +0100 CET] path: /api/recipe/, method: POST
[2021-01-25 22:37:35.686497 +0100 CET] path: /api/recipe/, method: POST
